中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
IP毛利率,,派生指标,,,ZB00488,,"""商品毛利率是商品毛利额占商品销售收入金额的百分比。
零售_商品毛利率= 零售_商品毛利额 / 零售金额 * 100%
零售_商品毛利额 = 零售金额 - 零售-商品成本
零售-商品成本 = 零售市值 / 定价倍率
定价倍率 = 某一产品季，整季-采购市值 / 整季-采购成本（含试制费），即：入库市值 / 入库金额 （※ 注：“定价倍率”须基于“产品季”进行计算）
零售_商品毛利额，即：直营零售视角商品毛利额，该指标通常需结合商品属性计算，未选商品属性的情况下，按照所选时间窗口已售出商品所覆盖全部SKC（",,,,,
IP费用率,,原子指标,,,ZB00493,,IP款累计授权费用/IP累计零售额，零售额线上指终端零售额，线下指零售金额,,,,,
经销商_营业收入,,派生指标,,,ZB00532,,零售金额 / （1+增值税税率13%）,,,,,
后台管理费用,,派生指标,,,ZB00548,,薪酬相关费用 + 租金及杂费 + 广告宣传费 + 后台管理其他费用,,,,,
后台管理费率,,派生指标,,,ZB00549,,后台管理费用 / 营业收入 * 100%,,,,,
薪酬相关费用,,派生指标,,,ZB00550,,营业收入 * 薪酬相关费用_费率,,,,,
租金及杂费,,派生指标,,,ZB00551,,营业收入 * 租金及杂费_费率,,,,,
后台管理其他费用,,派生指标,,,ZB00553,,营业收入 * 后台管理其他费用_费率,,,,,
薪酬相关费用_费率,,派生指标,,,ZB00554,,薪酬相关费用 / 营业收入 * 100%,,,,,
租金及杂费_费率,,派生指标,,,ZB00555,,租金及杂费 / 营业收入 * 100%,,,,,
后台管理其他费用_费率,,派生指标,,,ZB00557,,后台管理其他费用 / 营业收入 * 100%,,,,,
营业外收入,,派生指标,,,ZB00561,,促销返利+服务返利+渠道支持,,,,,
经销商_利润额,,派生指标,,,ZB00562,,门店_利润额-后台管理费用+营业外收入,,,,,
经销商_利润率,,派生指标,,,ZB00563,,经销商_利润额 / 营业收入 * 100%,,,,,
费用,费用/运营费用,复合指标,T1,财务及预算控制,FBC.00.00.001,指企业销售商品、提供劳务的过程中发生的各种费用，以及为组织和管理生产经营活动而发生的各种费用。,公司所有系统部门组织的日常运营费用合计，不含财务费用(财务费用包含税金及附加费用，存跌，政府补贴等)。,人工薪酬+社保+办公费+差旅费+业务招待费+包装运杂费+宣传费+服务费+客服费用,,"时间,品牌,门店",元,财经策略部
资金回笼率,,派生指标,,,ZB00588,,新产配发开始 ，截至统计结束时间的累计（净销额/净配发金额）*100%，其中累计净销额涉及的O2O需按线下算,,,,,
营业收入,,复合指标,T1,财务及预算控制,FBC.00.00.002,营业收入是指在一定时期内，企业从事主营业务或其他业务所取得的货币收入。,不同运营模式的不含税收入。加盟店：扣减退货、扣减返利；直营店：零售收入；线上：零售收入；其他业务收入；联营门店收入。,加盟渠道收入+直营门店收入+线上业务收入+联营门店收入+其他业务收入,,"时间,品牌,门店",元,财经策略部
利润总额,,复合指标,T1,财务及预算控制,FBC.00.00.003,企业在一定时期内通过生产经营活动所实现的最终财务成果。,指一定会计期间的经营成果，是生产经营过程中各种收入扣除各种耗费后的盈余，反映核算主体在报告期内实现的盈亏总额。,毛利额-费用-税金及附加-财务费用-存货跌价损失-坏账损失+资产处置收益+其他收益+投资收益+营业外收入-营业外支出,,"时间,品牌,门店",元,财经策略部
毛利额,毛利额/财务毛利额,复合指标,T1,财务及预算控制,FBC.00.00.004,毛利额是指企业销售收入扣除主营业务的直接成本后的利润。,"营业收入口径同【营业收入】一致。
营业成本指销售商品产生收入对应的货品成本，不包括企业的管理费用、财务费用、销售费用、税收等。",营业收入-营业成本,,"时间,品牌,门店,商品",元,财经策略部
毛利率,毛利率/财务毛利率,复合指标,T1,财务及预算控制,FBC.00.00.005,毛利率是财务毛利额占营业收入的百分比，其中财务毛利额是收入和与收入相对应的营业成本之间的差额。,口径与【毛利额】【营业收入】一致。,毛利额/营业收入,,"时间,品牌,门店,商品",%,财经策略部
利润率,,复合指标,T1,财务及预算控制,FBC.00.00.006,利润总额占营业收入的比例。,口径与【利润额】【营业收入】一致。,利润总额/营业收入 ,,"时间,品牌,门店",%,财经策略部
费用率,期间费用率,复合指标,T1,财务及预算控制,FBC.00.00.007,费用占营业收入的比例。,口径与【费用】【营业收入】一致。,费用/营业收入,,"时间,品牌,门店",%,财经策略部
