中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
采购市值占比,,派生指标,,,ZB00406,,采购市值/季度总采购市值,,,,,
配发量,配发数量,原子指标,T2,商品统筹,MEC.00.00.001,总仓对加盟经销商的配发出库数量。,"物料类型为正常商品，且收货店仓归属的运营模式为加盟的配发数量。
【关注点】
1、万能工具默认线下全部配发，不限定运营模式。",,,"时间,品牌,代理商,商品",件,统筹运营中心
零售市值占比,,派生指标,,,ZB00428,,零售市值/季度总采购市值,,,,,
成衣采购与核价成本差异额,,派生指标,,,ZB00431,,成衣采购成本均价-成衣核价成本均价,,,,,
成衣采购与核价成本差异率,,派生指标,,,ZB00432,,（成衣采购成本均价-成衣核价成本均价）/成衣核价成本均价*100%,,,,,
成衣采购均价同比增长率,,派生指标,,,ZB00433,,(当期成衣采购均价-同期成衣采购均价)/同期成衣采购均价*100%,,,,,
吊牌毛利率,,派生指标,,,ZB00447,,（吊牌价-采购成本）/吊牌价,,,,,
采购均价,,派生指标,,,ZB00448,,采购总金额/采购总数量x100%,,,,,
实际零售市值,,派生指标,,,ZB00475,,实际发生的交易商品数量*吊牌金额,,,,,
OTB市值预警,,派生指标,,,ZB00484,,当月累计可用入库市值-sum（后6月在途库存市值）,,,,,
IP售罄率,,派生指标,,,ZB00489,,"""电商：净销量/（净销量+可用库存）
线下：净配发市值（即：进货市值）=配发市值-退货市值
经销商- 售罄率=零售市值/ 净配发市值 * 100 %
总仓 - 售罄率=零售市值/总仓入库市值*100%
门店 - 售罄率=零售市值 /（零售市值 + 门店库存市值）* 100 %
经销商 - 周售罄率：周零售市值 / 净配发市值 * 100 %
经销商 - 4周售罄率：4周零售市值 / 净配发市值 * 100 %
注：零售 & 配发对应的商品统计范围须一致，未定义商品属性时，按所有商品的累计零售 & 累计配发",,,,,
30天售罄率,,派生指标,,,ZB00496,,"""经销商_售罄率=零售市值/净配发市值*100%
总仓-售罄率 = 零售市值/总仓入库市值*100%
电商_售罄率=零售市值/电商仓入库市值*100%""",,,,,
60天售罄率,,派生指标,,,ZB00497,,Q1设定统节点为2月28/29日为统计节点计算该时间节点的60天售罄率；此时间节点前无数据展示，以此类推，Q2为5.31日；Q3为8.30/31；Q4为11.30日；,,,,,
90天售罄率,,派生指标,,,ZB00498,,Q1设定统节点为3月31日为统计节点计算该时间节点的90天售罄率；以此类推，Q2为6.30日；Q3为9.30日；Q4为12.31日；,,,,,
180天售罄率,,派生指标,,,ZB00501,,Q1设定统节点为6月30日为统计节点计算该时间节点的180天售罄率；以此类推，Q2为9.30日；Q3为12.31日；Q4为次年3.31日；,,,,,
累计售罄率,,派生指标,,,ZB00502,,"经销商_售罄率=零售市值/净配发市值*100%
总仓-售罄率 = 零售市值/总仓入库市值*100%
电商_售罄率=零售市值/电商仓入库市值*100%",,,,,
配发额,配发金额,复合指标,T2,商品统筹,MEC.00.00.002,总仓对加盟经销商的销售出库金额。,"口径与【配发市值】一致
【关注点】
1、合同配发折扣指公司针对不同的客户，基于吊牌价格给与的不同配发折扣，即公司合同上写定的值。",配发市值 * 合同配发折扣,配发市值,"时间,品牌,代理商,商品",元,统筹运营中心
配发折扣,配发折扣/配发折率,复合指标,T2,商品统筹,MEC.00.00.007,总部实际配发商品给加盟经销商时基于吊牌价格所给予的总折扣。,"口径与【配发市值】【配发额】一致
【关注点】
1、仅针对加盟渠道。",配发额 / 配发市值,,"时间,品牌,代理商,商品",%,统筹运营中心
全国售罄率,,派生指标,,,ZB00515,,门店：零售市值/净配发市值*100% 线上：零售市值/(快照库存+零售）备注：不包含总仓数据,,,,,
经销商_商品毛利额（不含税）,,派生指标,,,ZB00534,,"""营业收入-配发成本（不含税）
配发成本（不含税）=（零售市值 * 配发折率）/（1+增值税税率13%）""",,,,,
经销商_商品毛利率（不含税）,,派生指标,,,ZB00535,,经销商_商品毛利额（不含税）/营业收入 * 100%,,,,,
加盟售罄率,,派生指标,,,ZB00577,,统计周期内，【零售市值/净配发市值】*100%,,,,,
直营售罄率,,派生指标,,,ZB00578,,统计周期内，【零售市值/净配发市值】*100%,,,,,
线上售罄率,,派生指标,,,ZB00579,,统计周期内，【零售市值/采购入嘉兴仓市值+总仓配发市值】*100%,,,,,
零售_sku数,,原子指标,,,ZB00580,,实际发生交易的商品SKU去重后的数量,,,,,
配发毛利额,,复合指标,T2,商品统筹,MEC.00.00.005,总仓对加盟经销商的售出商品的毛利。,"口径与【配发额】【配发成本额】一致
【关注点】
1、不含税金额，增值税税率13%。", (配发额-配发成本额)/(1+增值税税率),,"时间,品牌,代理商,商品",元,统筹运营中心
配发毛利率,,复合指标,T2,商品统筹,MEC.00.00.006,总仓对加盟经销商的售出商品的毛利率。,"口径与【配发毛利额】【配发额】一致
【关注点】
1、不含税金额，增值税税率13%。",配发毛利额 /（配发额/(1+增值税税率)）,,"时间,品牌,代理商,商品",%,统筹运营中心
含税商品成本额,,派生指标,,,ZB00592,,含税采购入库成本单价*配发数量,,,,,
配发成本额,,复合指标,T2,商品统筹,MEC.00.00.004,总仓对加盟经销商销售出库的商品成本金额。,口径与【采购成本单价】【配发量】一致,采购成本单价 * 配发量,,"时间,品牌,代理商,商品",元,统筹运营中心
商品售罄率,区间售罄率,复合指标,T1,商品统筹,MEC.00.00.010,商品的零售市值占总进货市值的比例。,"口径与【零售市值】、【库存市值】一致。
【关注点】
1、零售市值指所选时间段的零售市值，库存市值指所选时间段期末的库存市值。",零售市值 / (期末库存市值 + 零售市值)*100%,,"时间,品牌,门店,商品",%,统筹运营中心
覆盖率,,复合指标,T1,商品统筹,/,/,"针对单款/款色，覆盖率 = 在手门店数 / 总门店数
其中在手门店数：（7天或14天内）有零售或有库存的门店数；
总门店数：当前在营的总门店数；
【关注点】
门店数的统计需满足以下3项：
1.消费者触点为线下门店
2.运营模式为直营/加盟
3.渠道类型在（街边店、购物中心、奥特莱斯、百货、超市、母婴、学校）中的门店",,,"品牌,时间",,经营分析部>经营管理中心
OTB,,原子指标,T2,商品统筹,MEC.00.00.017,采购限额计划，是零售行业中一个重要的库存管理工具,"以品牌整体或者线下/电商渠道为分析对象：新品整季采购市值目标；
以渠道模式的加盟/直营/联营为分析对象：新品整季净配发市值目标；
以渠道模式的线下总仓为分析对象：新品季末线下总仓库存市值控制目标",无,,"商品品牌,产品季",元,经营分析部
OTB售罄率,,复合指标,T1,商品统筹,MEC.00.00.018,新品季，累计零售市值占OTB的比例,"口径与【零售市值】、【OTB】、【采购入库市值】一致。
【关注点】
1、限定单一产品季后使用，使用时只需要指定结束日期",累计零售市值/MAX(OTB，累计采购入库市值),,"商品品牌,产品季",%,经营分析部
在手库存量,,原子指标,T2,商品统筹,MEC.00.00.019,所选时间点已经在手的存货数量,线下总仓、电商、直营取实存；加盟、联营取逻辑库存（累计净配发量-累计零售量（不含O2O），其中净配发量/零售量均限定：商品年份 >= 所选结束年份 - 2）,无,,"渠道模式,库位,SKU",件,经营分析部
在手库存市值,,复合指标,T2,商品统筹,MEC.00.00.020,所选时间点已经在手的存货数市值,"口径与【在手库存量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格",在手库存量*商品吊牌价,,"渠道模式,库位,SKU",元,经营分析部
门店在手库存量,,原子指标,T2,商品统筹,MEC.00.00.021,所选统计日期时间点，门店的在库实存数量,无,无,,"年周,新主门店编码,门店名称,SKU",件,经营分析部
门店在途库存量,,原子指标,T2,商品统筹,MEC.00.00.022,所选统计日期时间点，收货方为该门店的在途库存数量,无,无,,"年周,新主门店编码,门店名称,SKU",件,经营分析部
门店在手库存市值,,复合指标,T2,商品统筹,MEC.00.00.023,所选统计日期时间点，门店的在库实存市值,"口径与【门店在手库存量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",门店在手库存量*商品吊牌价,,"年周,新主门店编码,门店名称,SKU",元,经营分析部
门店在途库存市值,,复合指标,T2,商品统筹,MEC.00.00.024,所选统计日期时间点，收货方为该门店的在途库存市值,"口径与【门店在途库存量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。 ",门店在途库存量*商品吊牌价,,"年周,新主门店编码,门店名称,SKU",元,经营分析部
退货在途库存量,,原子指标,T2,商品统筹,MEC.00.00.025,代理商（含直营子公司）退货给线下总仓的在途库存数量,无,退货在途库存量_直营+退货在途库存量_加盟+退货在途库存量_联营,,"渠道模式,库位,SKU",件,经营分析部
退货在途库存市值,,复合指标,T2,商品统筹,MEC.00.00.026,代理商（含直营子公司）退货给线下总仓的在途库存市值,"口径与【退货在途库存量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。 ",退货在途库存量*商品吊牌价,,"渠道模式,库位,SKU",元,经营分析部
库位间调拨在途库存量,,原子指标,T2,商品统筹,MEC.00.00.027,库位之间的相互调拨的在途库存量,库位之间的相互调拨的在途库存数量；归属调入库位,无,,"渠道模式,库位,SKU",件,经营分析部
库位间调拨在途库存市值,,复合指标,T2,商品统筹,MEC.00.00.028,库位之间的相互调拨的在途库存数市值,"口径与【库位间调拨在途库存量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。 ",库位间调拨在途库存量*商品吊牌价,,"渠道模式,库位,SKU",元,经营分析部
采购售罄率,,复合指标,T1,商品统筹,MEC.00.00.029,新品季，累计零售市值占公司累计采购市值的比例,"口径与【零售市值】、【采购下单市值】、【采购入库市值】一致。
【关注点】
1、限定单一产品季后使用，使用时只需要指定结束日期",累计零售市值/Max(累计采购下单市值，累计采购入库市值）,,"累计,年月,年周,日期,SKC",%,经营分析部
订货量,,原子指标,T2,商品统筹,MEC.00.00.030,代理商订货量+直联营公司买货量；以系统数据为准,代理商订货量+直联营公司买货量,无,,"渠道模式,SKC",件,经营分析部
订货市值,,复合指标,T2,商品统筹,MEC.00.00.031,代理商订货市值+直联营公司买货市值；以系统数据为准,代理商订货市值+直联营公司买货市值,订货量*商品吊牌价,,"渠道模式,SKC",元,经营分析部
新店备货量,,原子指标,T2,商品统筹,MEC.00.00.032,为未开出的新店准备的商品量,无,无,,"渠道模式,SKC",件,经营分析部
新店备货市值,,复合指标,T2,商品统筹,MEC.00.00.033,为未开出的新店准备的商品市值,无,无,,"渠道模式,SKC",元,经营分析部
提货率,,复合指标,T2,商品统筹,MEC.00.00.034,代理商（含直营子公司）净配发市值占订货市值+新店备货市值的比例,口径与【净配发市值】、【订货市值】、【新店备货市值】一致。,净配发市值/（订货市值+新店备货市值),,"累计,年月,年周,日期,渠道模式,SKC",%,经营分析部
在手款色数,,派生指标,T2,商品统筹,MEC.00.00.035,-,所选统计日期时间点，门店有库存的商品款色个数,若单个款色的门店在手库存量>0，则在手款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
在手库存尺码数,,派生指标,T2,商品统筹,MEC.00.00.036,-,所选统计日期时间点，门店有库存的SKU个数,若单个SKU的门店在手库存量>0，则在手库存尺码数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
7天动销款色数,,派生指标,T2,商品统筹,MEC.00.00.037,-,所选统计日期时间点的前7天，有零售的商品款色个数,若单个款色的RW1零售数量>0，则7天动销款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
7天有零售尺码数,,派生指标,T2,商品统筹,MEC.00.00.038,-,所选统计日期时间点的前7天，有零售的SKU个数,若单个SKU的RW1零售量>0，则7天有零售尺码数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
7天有零售有库存尺码数,,派生指标,T2,商品统筹,MEC.00.00.039,-,所选统计日期时间点的前7天，有零售且期末有库存的SKU个数,若单个SKU的RW1零售量>0且门店在手库存量>0，则7天有零售有库存尺码数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
7天在手款色数,,派生指标,T2,商品统筹,MEC.00.00.040,-,所选统计日期时间点的前7天，有零售或期末有库存的商品款色个数,若单个款色的RW1零售量>0或门店在手库存量>0，则7天在手款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
14天动销款色数,,派生指标,T2,商品统筹,MEC.00.00.041,-,所选统计日期时间点的前14天，有零售的商品款色个数,若单个款色的14天零售量>0，则14天动销款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
14天零售额,,派生指标,T2,商品统筹,MEC.00.00.042,-,所选统计日期时间点的前14天，总的零售额,14天终端成交额 - 14天零售退款额,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
14天零售市值,,复合指标,T2,商品统筹,MEC.00.00.043,所选统计日期时间点的前14天，总的零售市值,"口径与【14天零售数量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",14天零售量 * 商品吊牌价,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
14天零售量,,派生指标,T2,商品统筹,MEC.00.00.044,-,所选统计日期时间点的前14天，总的零售量,14天终端成交量 - 14天零售退款量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
14天有零售尺码数,,派生指标,T2,商品统筹,MEC.00.00.045,-,所选统计日期时间点的前14天，有零售的SKU个数,若单个SKU的14天零售量>0，则14天有零售尺码数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
14天有零售有库存尺码数,,派生指标,T2,商品统筹,MEC.00.00.046,-,所选统计日期时间点的前14天，有零售且期末有库存的SKU个数,若单个SKU的14天零售量>0且门店在手库存量>0，则14天有零售有库存尺码数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
14天在手款色数,,派生指标,T2,商品统筹,MEC.00.00.047,-,所选统计日期时间点的前14天，有零售或期末有库存的商品款色个数,若单个款色的14天零售量>0或门店在手库存量>0，则14天在手款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
30天动销款色数,,派生指标,T2,商品统筹,MEC.00.00.048,-,所选统计日期时间点的前30天，有零售的商品款色个数,若单个款色的30天零售量>0，则30天动销款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
30天零售额,,派生指标,T2,商品统筹,MEC.00.00.049,-,所选统计日期时间点的前30天，总的零售额,30天终端成交额 - 30天零售退款额,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
30天零售市值,,复合指标,T2,商品统筹,MEC.00.00.050,所选统计日期时间点的前30天，总的零售市值,"口径与【30天零售数量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",30天零售量 * 商品吊牌价,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
30天零售量,,派生指标,T2,商品统筹,MEC.00.00.051,-,所选统计日期时间点的前30天，总的零售量,30天终端成交量 - 30天零售退款量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
30天死货款色数,,派生指标,T2,商品统筹,MEC.00.00.052,-,所选统计日期时间点，对于到店天数大于30天的商品，前30天无零售且期末有库存的商品款色个数,若到店天数>30天的商品，单个款色的30天零售量<=0且门店在手库存量>0，则30天死货款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
30天在手款色数,,派生指标,T2,商品统筹,MEC.00.00.053,-,所选统计日期时间点的前30天，有零售或期末有库存的商品款色个数,若单个款色的30天零售量>0或门店在手库存量>0，则30天在手款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
累计在手款色数,,派生指标,T2,商品统筹,MEC.00.00.054,-,截止所选统计日期时间点，有零售或期末有库存的商品款色个数,若单个款色的累计零售量>0或门店在手库存量>0，则累计在手款色数计为1，否则计为0,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
累计商品售罄率,,复合指标,T1,商品统筹,MEC.00.00.055,商品的累计零售市值占总进货市值的比例,口径与【累计零售市值】、【门店在手库存市值】、【门店在途库存市值】一致。,累计零售市值 / （门店在手库存市值+门店在途库存市值+累计零售市值）,,"年周,新主门店编码,门店名称,SKC",%,经营分析部
7天商品售罄率,,复合指标,T1,商品统筹,MEC.00.00.056,商品的7天零售市值占总进货市值的比例,口径与【RW1零售市值】、【门店在手库存市值】、【门店在途库存市值】一致。,RW1零售市值 / （门店在手库存市值+门店在途库存市值+RW1零售市值）,,"年周,新主门店编码,门店名称,SKC",%,经营分析部
14天商品售罄率,,复合指标,T1,商品统筹,MEC.00.00.057,商品的14天零售市值占总进货市值的比例,口径与【14天零售市值】、【门店在手库存市值】、【门店在途库存市值】一致。,14天零售市值 / （门店在手库存市值+门店在途库存市值+14天零售市值）,,"年周,新主门店编码,门店名称,SKC",%,经营分析部
7天UWS_标准化,标准UWS,复合指标,T2,商品统筹,MEC.00.00.058,"针对具体款色：
所选统计日期时间点的前7天，全国门店数:零售额>0的门店数
所选统计日期时间点的前7天，商品的规模比:【7天在手款色数】=1的门店零售额 / 整体门店零售额
所选统计日期时间点，商品的理论零售量总数:【7天在手款色数】=1的门店的零售量 / 规模比
所选统计日期时间点，7天UWS_标准化:理论零售量总数 / 全国门店数",无,【7天在手款色数】=1的门店的零售量/(【7天在手款色数】=1的门店零售额/ 7天整体门店零售额) / 全国门店数,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
累计到店量,,复合指标,T2,商品统筹,MEC.00.00.059,截止所选统计时间点，门店总的零售量和库存量,无,累计零售量+门店在手库存量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
累计到店市值,,复合指标,T2,商品统筹,MEC.00.00.060,截止所选统计时间点，门店总的零售市值和库存市值,无,累计零售市值+门店在手库存市值,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW1零售额,,派生指标,T2,商品统筹,MEC.00.00.061,所选统计日期时间点的前7天，总的零售额,无,7天终端成交额 - 7天零售退款额,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW1零售市值,,复合指标,T2,商品统筹,MEC.00.00.062,所选统计日期时间点的前7天，总的零售市值,"口径与【零售量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",RW1零售量 * 商品吊牌价,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW1零售量,,派生指标,T2,商品统筹,MEC.00.00.063,所选统计日期时间点的前7天，总的零售量,无,7天终端成交量 - 7天零售退款量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
RW2零售额,,派生指标,T2,商品统筹,MEC.00.00.064,所选统计日期时间点的前7天到前14天，总的零售额,无,前7到14天终端成交额 - 前7到14天零售退款额,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW2零售市值,,复合指标,T2,商品统筹,MEC.00.00.065,所选统计日期时间点的前7天到前14天，总的零售市值,"口径与【零售量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",RW2零售量 * 商品吊牌价,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW2零售量,,派生指标,T2,商品统筹,MEC.00.00.066,所选统计日期时间点的前7天到前14天，总的零售量,无,前7到14天终端成交量 - 前7到14天零售退款量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
RW3零售额,,派生指标,T2,商品统筹,MEC.00.00.067,所选统计日期时间点的前14天到前21天，总的零售额,无,前14到21天终端成交额 - 前14到21天零售退款额,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW3零售市值,,复合指标,T2,商品统筹,MEC.00.00.068,所选统计日期时间点的前14天到前21天，总的零售市值,"口径与【零售量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",RW3零售量 * 商品吊牌价,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW3零售量,,派生指标,T2,商品统筹,MEC.00.00.069,所选统计日期时间点的前14天到前21天，总的零售量,无,前14到21天终端成交量 - 前14到21天零售退款量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
RW4零售额,,派生指标,T2,商品统筹,MEC.00.00.070,所选统计日期时间点的前21天到前28天，总的零售额,无,前21到28天终端成交额 - 前21到28天零售退款额,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW4零售市值,,复合指标,T2,商品统筹,MEC.00.00.071,所选统计日期时间点的前21天到前28天，总的零售市值,"口径与【零售量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",RW4零售量 * 商品吊牌价,,"年周,新主门店编码,门店名称,SKC",元,经营分析部
RW4零售量,,派生指标,T2,商品统筹,MEC.00.00.072,所选统计日期时间点的前21天到前28天，总的零售量,无,前21到28天终端成交量 - 前21到28天零售退款量,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
7天UWS,,复合指标,T2,商品统筹,MEC.00.00.073,所选统计日期时间点，∑RW1零售量 / ∑7天在手款色数,无,RW1零售量 / 在手款色数,,"年周,新主门店编码,门店名称,SKC",件,经营分析部
7天活动率,,复合指标,T2,商品统筹,MEC.00.00.074,7天动销款色数/7天在手款色数,无,7天动销款色数 / 7天在手款色数,,"年周,新主门店编码,门店名称,SKC",%,经营分析部
14天活动率,,复合指标,T2,商品统筹,MEC.00.00.075,14天动销款色数/14天在手款色数,无,14天动销款色数 / 14天在手款色数,,"年周,新主门店编码,门店名称,SKC",%,经营分析部
