中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
会员复购率,,复合指标,T2,会员整体,MEMB.0011,会员复购人数/会员购买人数,"会员复购人数/会员购买人数

【复购定义】统计周期内，统计维度层级下会员有2天及以上大于0元的订单，则计为复购，复购数据统计为该会员自第二天起至统计结束时间内的消费记录。",会员复购人数/会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
入会率,,复合指标,T2,会员整体,MEMB.0012,会员开卡人数/(零售小票数-总会员销售订单数+会员开卡人数),会员开卡人数/(非会员订单数+会员开卡人数),会员开卡人数/(非会员订单数+会员开卡人数),,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
存量会员人数,,原子指标,T2,会员整体,MEMB.0013,总开卡人数,所选统计维度，按开卡门店统计所有开卡总人数,所选统计维度，按开卡门店统计所有开卡总人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
会员开卡人数,,原子指标,T2,会员整体,MEMB.0014,统计周期内的会员开卡人数,统计周期内 及所选统计维度，会员开卡总人数,统计周期内 及所选统计维度，会员开卡总人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
会员开卡购买人数,,原子指标,T2,会员整体,MEMB.0015,统计周期内会员开卡且有购买的人数,"统计周期内 及所选统计维度 会员在‘开卡门店’进行开卡且在统计周期购买的人数（不限制购买门店）

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度 会员在‘开卡门店’进行开卡且在统计周期购买的人数（不限制购买门店）,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
开卡购买转化率,,复合指标,T2,会员整体,MEMB.0016,会员开卡购买人数/会员开卡人数,会员开卡购买人数/会员开卡人数,会员开卡购买人数/会员开卡人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
新会员零售额,,原子指标,T2,新会员,MEMB.0017,新会员订单净销额,"统计周期内 及所选统计维度，新会员对应的零售额汇总

【新会员定义】会员首笔零售额>0元订单日期在统计周期内

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，新会员对应的零售额汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
新会员购买人数,,原子指标,T2,新会员,MEMB.0018,新会员订单以会员id去重统计,"统计周期内 及所选统计维度，新会员订单根据会员ID去重

【新会员定义】会员首笔零售额>0元订单日期在统计周期内

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，新会员订单根据会员ID去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
新会员购买天数,,原子指标,T2,新会员,MEMB.0019,新会员订单以会员id+订单日期+门店编码去重统计,"统计周期内 及所选统计维度，新会员订单以会员ID、支付日期、门店编码进行去重统计

【新会员定义】会员首笔零售额>0元订单日期在统计周期内

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，新会员订单以会员ID、支付日期、门店编码进行去重统计,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",天,巴拉巴拉品牌事业部
新会员购买件数,,原子指标,T2,新会员,MEMB.0020,新会员订单净销件数,"统计周期内 及所选统计维度，新会员的零售量进行汇总

【新会员定义】会员首笔零售额>0元订单日期在统计周期内
",统计周期内 及所选统计维度，新会员的零售量进行汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",件,巴拉巴拉品牌事业部
新会员购买订单数,,原子指标,T2,新会员,MEMB.0021,新会员销售订单数,"统计周期内 及所选统计维度，针对新会员的零售额大于0的订单，按订单号进行去重

【新会员定义】会员首笔零售额>0元订单日期在统计周期内

备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，针对新会员的零售额大于0的订单，按订单号进行去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",单,巴拉巴拉品牌事业部
新会员复购人数,,原子指标,T2,新会员,MEMB.0022,在统计周期内，既是新会员，又发生复购行为，有复购的新会员以会员id去重统计,"统计周期内 及所选统计维度，有复购的新会员 以会员ID去重

【新会员定义】会员首笔零售额>0元订单日期在统计周期内


备注：剔除整单全部为辅料（非正常商品）的订单",统计周期内 及所选统计维度，有复购的新会员 以会员ID去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
新会员购买人数占比(总会员),,复合指标,T2,新会员,MEMB.0023,新会员购买人数/总会员购买人数,"新会员购买人数/会员购买人数*100%

【新会员定义】会员首笔零售额>0元订单日期在统计周期内",新会员购买人数/会员购买人数*100%,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
新会员客单价,,复合指标,T2,新会员,MEMB.0024,新会员零售额/新会员购买天数,"新会员零售额/新会员购买天数

【新会员定义】会员首笔零售额>0元订单日期在统计周期内",新会员零售额/新会员购买天数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
新会员人均贡献,,复合指标,T2,新会员,MEMB.0025,新会员零售额/新会员购买人数,"新会员零售额/新会员购买人数

【新会员定义】会员首笔零售额>0元订单日期在统计周期内",新会员零售额/新会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
新会员购买频次,,复合指标,T2,新会员,MEMB.0026,新会员购买天数/新会员购买人数,"新会员购买天数/新会员购买人数

【新会员定义】会员首笔零售额>0元订单日期在统计周期内",新会员购买天数/新会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",次,巴拉巴拉品牌事业部
新会员复购率,,复合指标,T2,新会员,MEMB.0027,"新会员复购人数/新会员购买人数
","新会员复购人数/新会员购买人数

【新会员定义】会员首笔零售额>0元订单日期在统计周期内

",新会员复购人数/新会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
活跃会员零售额,,原子指标,T2,活跃会员,MEMB.0028,活跃会员订单净销额,"活跃会员在统计周期内及所选维度 对零售额进行汇总


【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员

备注：剔除整单全部为辅料（非正常商品）的订单",活跃会员在统计周期内及所选维度 对零售额进行汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
活跃会员购买人数,,原子指标,T2,活跃会员,MEMB.0029,活跃会员订单以会员id去重统计,"活跃会员在统计周期内及所选维度下购买的订单，根据会员ID去重

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员

备注：剔除整单全部为辅料（非正常商品）的订单",活跃会员订单以会员id去重统计,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
活跃会员购买天数,,原子指标,T2,活跃会员,MEMB.0030,活跃会员订单以会员id+订单日期+门店编码去重统计,"活跃会员在统计周期内及所选维度下购买的订单以会员ID、支付日期、门店编码进行去重统计

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员

备注：剔除整单全部为辅料（非正常商品）的订单",活跃会员在统计周期内及所选维度下购买的订单以会员ID、支付日期、门店编码进行去重统计,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",天,巴拉巴拉品牌事业部
活跃会员购买件数,,原子指标,T2,活跃会员,MEMB.0031,活跃会员订单净销件数,"活跃会员在统计周期内及所选维度下购买的零售量进行汇总

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员",活跃会员在统计周期内及所选维度下购买的零售量进行汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",件,巴拉巴拉品牌事业部
活跃会员购买订单数,,原子指标,T2,活跃会员,MEMB.0032,活跃会员销售订单数,"活跃会员在统计周期内及所选维度下，针对零售额大于0的订单，按订单号进行去重

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员

备注：剔除整单全部为辅料（非正常商品）的订单",活跃会员在统计周期内及所选维度下，针对零售额大于0的订单，按订单号进行去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",单,巴拉巴拉品牌事业部
活跃会员复购人数,,原子指标,T2,活跃会员,MEMB.0033,有复购的活跃会员以会员id去重统计,"活跃会员在统计周期内  统计维度下，有复购的活跃会员 以会员ID去重

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员


备注：剔除整单全部为辅料（非正常商品）的订单",活跃会员在统计周期内  统计维度下，有复购的活跃会员 以会员ID去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
活跃会员购买人数占比(总会员),,复合指标,T2,活跃会员,MEMB.0034,活跃会员购买人数/总会员购买人数,"活跃会员购买人数/会员购买人数*100%

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员",活跃会员购买人数/会员购买人数*100%,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
活跃会员客单价,,复合指标,T2,活跃会员,MEMB.0035,活跃会员零售额/活跃会员购买天数,"活跃会员零售额/活跃会员购买天数

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员",活跃会员零售额/活跃会员购买天数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
活跃会员人均贡献,,复合指标,T2,活跃会员,MEMB.0036,活跃会员零售额/活跃会员购买人数,"活跃会员零售额/活跃会员购买人数

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员",活跃会员零售额/活跃会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
活跃会员购买频次,,复合指标,T2,活跃会员,MEMB.0037,活跃会员购买天数/活跃会员购买人数,"活跃会员购买天数/活跃会员购买人数

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员",活跃会员购买天数/活跃会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",次,巴拉巴拉品牌事业部
活跃会员复购率,,复合指标,T2,活跃会员,MEMB.0038,活跃会员复购人数/活跃会员购买人数,"活跃会员复购人数/活跃会员购买人数

【活跃会员定义】会员历史首单日期（历史首次发生零售额>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，发生过零售额>0元订单行为则标记为活跃会员

",活跃会员复购人数/活跃会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
活跃会员基数,,原子指标,T2,活跃会员,MEMB.0039,近365天有购买的会员人数,"近365天有购买的会员人数

【活跃会员】会员在统计开始日期前365天内有零售额>0元订单

备注：剔除整单全部为辅料（非正常商品）的订单",近365天有购买的会员人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
活跃会员回购率,,复合指标,T2,活跃会员,MEMB.0040,活跃会员购买人数/活跃会员基数*100%,"活跃会员购买人数/活跃会员基数*100%

【活跃会员】会员在统计开始日期前365天内有零售额>0元订单",活跃会员购买人数/活跃会员基数*100%,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
流失会员零售额,,原子指标,T2,流失会员,MEMB.0041,流失会员在统计周期内及所选维度下，对零售额进行汇总,"流失会员在统计周期内及所选维度下，对零售额进行汇总

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为

备注：剔除整单全部为辅料（非正常商品）的订单",流失会员在统计周期内及所选维度下，对零售额进行汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
流失会员购买人数,,原子指标,T2,流失会员,MEMB.0042,流失会员订单以会员id去重统计,"流失会员在统计周期内及所选维度下购买的订单，根据会员ID去重

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为


备注：剔除整单全部为辅料（非正常商品）的订单",流失会员订单以会员id去重统计,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
流失会员购买天数,,原子指标,T2,流失会员,MEMB.0043,流失会员订单以会员id+订单日期+门店编码去重统计,"流失会员在统计周期内及所选维度下购买的订单以会员ID、支付日期、门店编码进行去重统计

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为",流失会员订单以会员id+订单日期+门店编码去重统计,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",天,巴拉巴拉品牌事业部
流失会员购买件数,,原子指标,T2,流失会员,MEMB.0044,流失会员订单净销件数,"流失会员在统计周期内及所选维度下 对零售量进行汇总

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为",流失会员在统计周期内及所选维度下 对零售量进行汇总,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",件,巴拉巴拉品牌事业部
流失会员购买订单数,,原子指标,T2,流失会员,MEMB.0045,流失会员销售订单数,"流失会员在统计周期内及所选维度下，针对零售额大于0的订单，按订单号进行去重

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为

备注：剔除整单全部为辅料（非正常商品）的订单",流失会员在统计周期内及所选维度下，针对零售额大于0的订单，按订单号进行去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",单,巴拉巴拉品牌事业部
流失会员复购人数,,原子指标,T2,流失会员,MEMB.0046,有复购的流失会员以会员id去重统计,"流失会员在统计周期内及所选维度下，有复购的流失会员 以会员ID去重

备注：剔除整单全部为辅料（非正常商品）的订单

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为

",流失会员在统计周期内及所选维度下，有复购的流失会员 以会员ID去重,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",人,巴拉巴拉品牌事业部
流失会员购买人数占比(总会员),,复合指标,T2,流失会员,MEMB.0047,流失会员购买人数/总会员购买人数,"流失会员购买人数/会员购买人数*100%

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为",流失会员购买人数/会员购买人数*100%,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
流失会员客单价,,复合指标,T2,流失会员,MEMB.0048,流失会员净销额/流失会员购买天数,"流失会员零售额/流失会员购买天数

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为",流失会员零售额/流失会员购买天数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",元,巴拉巴拉品牌事业部
流失会员人均贡献,,原子指标,T2,流失会员,MEMB.0049,流失会员零售额/流失会员购买人数,"流失会员零售额/流失会员购买人数

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为",流失会员零售额/流失会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
流失会员购买频次,,复合指标,T2,流失会员,MEMB.0050,流失会员购买天数/流失会员购买人数,"流失会员购买天数/流失会员购买人数

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为",流失会员购买天数/流失会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",次,巴拉巴拉品牌事业部
流失会员复购率,,复合指标,T2,流失会员,MEMB.0051,流失会员复购人数/流失会员购买人数,"流失会员复购人数/流失会员购买人数

【流失会员定义】会员历史首单日期（历史首次发生>0元订单的日期）在统计开始日期前，且会员在统计开始日期前365天内，未发生过零售额>0元订单行为
",流失会员复购人数/流失会员购买人数,,"时间,店铺,商品,订单来源（门店,云店）会员等级,区域,客户",%,巴拉巴拉品牌事业部
