中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
实际空库位数,,原子指标,T2,,BUS1190,库存为零的库位数,库存为零的库位数,,,,,
使用库位数,,原子指标,T2,,BUS1191,系统库位中有库存的库位数量；（折算为标准库位）,系统库位中有库存的库位数量；（折算为标准库位）,,,,,
系统库位数,,原子指标,T2,,BUS1192,WMS系统构建的存储,WMS系统构建的存储,,,,,
预计空库位数,,原子指标,T2,,BUS1193,实际空库位数 - 采购未入库箱数,实际空库位数 - 采购未入库箱数,实际空库位数 - 采购未入库箱数,,,,
未入仓量,,原子指标,T2,,BUS1194,总备货量-已入仓量-期初库存量,总备货量-已入仓量-期初库存量,总备货量-已入仓量-期初库存量,,,,
未入仓市值,,原子指标,T2,,BUS1195,（总备货量-已入仓量-期初库存量）对应的货品的吊牌金额,（总备货量-已入仓量-期初库存量）对应的货品的吊牌金额,(总备货量-已入仓量-期初库存量)对应的货品的吊牌金额,,,,
已入仓量,,原子指标,T2,,BUS1196,当年1.1到当前的已入仓量(Q1-Q3);当年3.1到当前的已入仓量（Q4）,当年1.1到当前的已入仓量(Q1-Q3);当年3.1到当前的已入仓量（Q4）,,,,,
已入仓市值,,原子指标,T2,,BUS1197,当年1.1到当前的已入仓吊牌金额(Q1-Q3);当年3.1到当前的已入仓吊牌金额（Q4）,当年1.1到当前的已入仓吊牌金额(Q1-Q3);当年3.1到当前的已入仓吊牌金额（Q4）,,,,,
采购未入库箱数,,原子指标,T2,,BUS1198,已到仓未上架货品箱数,已到仓未上架货品箱数,,,,,
出库销额,,原子指标,T2,,BUS1200,统计时间内，有出库记录的销售金额,统计时间内，有出库记录的销售金额,,,,,
出库销量,,原子指标,T2,,BUS1201,统计时间内，有出库记录的销售数量,统计时间内，有出库记录的销售数量,,,,,
出库总件数,,原子指标,T2,,BUS1202,查询周期内B2C/JITX/B2B/JIT出库总件数,查询周期内B2C/JITX/B2B/JIT出库总件数,,,,,
单位面积库位数,,复合指标,T2,,BUS1203,系统库位数/建筑面积 * 100%,系统库位数/建筑面积 * 100%,系统库位数/建筑面积 * 100%,,,,
各仓入库时效,,复合指标,T2,,BUS1204,入库时效：（入库时间-实际到仓时间）/入库批次；入库批次：内向交货单号不重复计数,入库时效：（入库时间-实际到仓时间）/入库批次；入库批次：内向交货单号不重复计数,(入库时间-实际到仓时间)/入库批次,,,,
各仓入库天数分布,,复合指标,T2,,BUS1205,每张入库单据的入库时效天数分布,每张入库单据的入库时效天数分布,,,,,
各仓未入库超时天数分布,,复合指标,T2,,BUS1206,每张未入库单据的超时天数分布超时天数=到仓时长-标准时效,每张未入库单据的超时天数分布超时天数=到仓时长-标准时效,每张未入库单据的超时天数分布超时天数=到仓时长-标准时效,,,,
各仓已入库超时天数分布,,复合指标,T2,,BUS1207,每张入库单据的超时天数分布超时天数=入库时效-标准时效（配置表品牌）,每张入库单据的超时天数分布超时天数=入库时效-标准时效（配置表品牌）,每张入库单据的超时天数分布超时天数=入库时效-标准时效(配置表品牌),,,,
各品牌入库时效,,复合指标,T2,,BUS1208,入库时效：（入库时间-实际到仓时间）/入库批次；入库批次：内向交货单号不重复计数；品牌：按款号区分,入库时效：（入库时间-实际到仓时间）/入库批次；入库批次：内向交货单号不重复计数；品牌：按款号区分,入库时效=(入库时间-实际到仓时间)/入库批次；、入库批次=内向交货单号不重复计数；、品牌：按款号区分,,,,
平均拆包时效（小时）,,复合指标,T2,,BUS1209,【签收时间 - 拆包入库时间】按查询条件汇总/运单号汇总,【签收时间 - 拆包入库时间】按查询条件汇总/运单号汇总,∑(签收时间 - 拆包入库时间)/运单号汇总,,,,
平均发货时效（小时）,,复合指标,T2,,BUS1210,B2C发货时效时间汇总/B2C总单量汇总,B2C发货时效时间汇总/B2C总单量汇总,B2C发货时效时间汇总/B2C总单量汇总,,,,
平均入库时效（天）,,复合指标,T2,,BUS1211,入库时效汇总（入库时间-实际到仓时间）/入库批次数质检时效,入库时效汇总（入库时间-实际到仓时间）/入库批次数质检时效,入库时效汇总(入库时间-实际到仓时间)/入库批次数质检时效,,,,
平均质检时效（天）,,复合指标,T2,,BUS1212,质检完成时间 - 实际到仓时间,质检完成时间 - 实际到仓时间,质检完成时间 - 实际到仓时间,,,,
期初库存量,,原子指标,T2,,BUS1213,上一年12.31的在库库存（Q1-Q3);当年2.28/29的在库库存(Q4),上一年12.31的在库库存（Q1-Q3);当年2.28/29的在库库存(Q4),,,"品牌,性别,品类,时间周期（日,周,月）",,
期初库存量（剔销售锁定）,,复合指标,T2,,BUS1214,上一年12.31的在库库存（剔销售锁定)(Q1-Q3);当年2.28/29的在库库存（剔销售锁定)(Q4),上一年12.31的在库库存（剔销售锁定)(Q1-Q3);当年2.28/29的在库库存（剔销售锁定)(Q4),,,,,
期初库存市值,,复合指标,T2,,BUS1215,上一年12.31的在库库存吊牌金额（Q1-Q3);当年2.28/29的在库库存吊牌金额(Q4),上一年12.31的在库库存吊牌金额（Q1-Q3);当年2.28/29的在库库存吊牌金额(Q4),,,,,
期初库存市值（剔销售锁定）,,复合指标,T2,,BUS1216,上一年12.31的在库库存吊牌金额（剔销售锁定)(Q1-Q3);当年2.28/29的在库库存吊牌金额（剔销售锁定)(Q4),上一年12.31的在库库存吊牌金额（剔销售锁定)(Q1-Q3);当年2.28/29的在库库存吊牌金额（剔销售锁定)(Q4),,,,,
入库计划模,,复合指标,T2,,BUS1217,"入库计划：约车到货数据
实际：实际入库数据","入库计划：约车到货数据
实际：实际入库数据",入库计划：约车到货数据、实际：实际入库数据,,,,
入库时效,,复合指标,T2,,BUS1218,入库时间-实际到仓时间,入库时间-实际到仓时间,入库时间-实际到仓时间,,,,
未入库超时明细,,原子指标,T2,,BUS1220,未入库（已到仓+已质检）状态的超时单据明细,未入库（已到仓+已质检）状态的超时单据明细,,,,,
物流首页出库时效,,复合指标,T2,,BUS1221,B2C发货时效时间汇总（发货时间 - 创建时间）/B2C总单量汇总,B2C发货时效时间汇总（发货时间 - 创建时间）/B2C总单量汇总,B2C发货时效时间汇总(发货时间 - 创建时间)/B2C总单量汇总,,,,
物流首页入库时效,,复合指标,T2,,BUS1223,入库时间-实际到仓时间,入库时间-实际到仓时间,入库时间-实际到仓时间,,,,
已入库超时明细,,原子指标,T2,,BUS1225,已入库超时单据明细,已入库超时单据明细,,,,,
JITX单量,,原子指标,T2,,BUS1226,查询周期内JITX出库总单量,查询周期内JITX出库总单量,,,,,
JIT达成,,复合指标,T2,,BUS1227,件数达成率 = 实际总件数/计划总件数 * 100%,件数达成率 = 实际总件数/计划总件数 * 100%,件数达成率 = 实际总件数/计划总件数 * 100%,,,,
JIT件数,,原子指标,T2,,BUS1228,查询周期内JIT出库总件数,查询周期内JIT出库总件数,,,,,
门店运营费用,,复合指标,T2,,FIN1023,门店运营过程中产生的期间费用，包含设备，仓库租赁费，水电费，物业管理费等,门店运营过程中产生的期间费用，包含设备，仓库租赁费，水电费，物业管理费等,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
物流费用,,原子指标,T2,,FIN1029,线上实际物流费用，按照U币比例分摊,线上实际物流费用，按照U币比例分摊,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
线下物流费,,派生指标,T2,,FIN1030,线下实际物流费用，按照U币比例分摊,线下实际物流费用，按照U币比例分摊,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
总备货量,,复合指标,T2,,BUS1234,期初库存量+已入仓量+未入仓量,期初库存量+已入仓量+未入仓量,期初库存量+已入仓量+未入仓量,,,,
总备货量（剔销售锁定）,,复合指标,T2,,BUS1235,期初库存(剔销售锁定）+已入仓量+未入仓量,期初库存(剔销售锁定）+已入仓量+未入仓量,期初库存（剔销售锁定）+已入仓量+未入仓量,,,,
总备货市值,,复合指标,T2,,BUS1236,（期初库存+已入仓量+未入仓量）对应的吊牌金额,（期初库存+已入仓量+未入仓量）对应的吊牌金额,(期初库存+已入仓量+未入仓量)对应的吊牌金额,,,,
总备货市值（剔销售锁定）,,复合指标,T2,,BUS1237,（期初库存(剔销售锁定）+已入仓量+未入仓量）对应的吊牌金额,（期初库存(剔销售锁定）+已入仓量+未入仓量）对应的吊牌金额,(期初库存（剔销售锁定）+已入仓量+未入仓量)对应的吊牌金额,,,,
SKU不动销率,,复合指标,T2,,BUS1263,所选时间范围内，库存SKU数量/不动销SKU数量,所选时间范围内，库存SKU数量/不动销SKU数量,库存SKU数量/不动销SKU数量,,,,商品
环比,,复合指标,T2,,BUS1273,"统计时间内，环比=（本期数-上期数）/| 上期数| *100%
若为率指标、件单价、客单价、周转天数：本期-上期
其中，上期为所选本期自然日上一周期的数值，
若本期完整环比上一周期，比如2022年4月默认环比2022年3月，
若本期不完整则按本期开始日期往前推对应天数，比如统计时间选中2022年6月时，整月未结束6月1日-16日，那默认环期为2022年5月13日-5月30日；","统计时间内，环比=（本期数-上期数）/| 上期数| *100%
若为率指标、件单价、客单价、周转天数：本期-上期
其中，上期为所选本期自然日上一周期的数值，
若本期完整环比上一周期，比如2022年4月默认环比2022年3月，
若本期不完整则按本期开始日期往前推对应天数，比如统计时间选中2022年6月时，整月未结束6月1日-16日，那默认环期为2022年5月13日-5月30日；",(本期数-上期数)/| 上期数| *100%,,"品牌,店铺,时间周期（日,周,月）",,总经办
售罄率（备）,,复合指标,T2,,BUS1279,统计时间内，累销市值/（累销市值+在库库存市值+采购在途市值）,统计时间内，累销市值/（累销市值+在库库存市值+采购在途市值）,累销市值/(累销市值+在库库存市值+采购在途市值),,,,
同比,,复合指标,T2,,BUS1280,"统计时间内，同比=（本期数-同期数）/| 同期数| *100%
若为率指标、件单价、客单价、周转天数：本期-同期
其中同期为所选本期自然日的年份-1对应的数值","统计时间内，同比=（本期数-同期数）/| 同期数| *100%
若为率指标、件单价、客单价、周转天数：本期-同期
其中同期为所选本期自然日的年份-1对应的数值",(本期数-同期数)/| 同期数| *100%,,"品牌,店铺,时间周期（日,周,月）",,总经办
SAP采购入库的货品数量,,,T2,,16383,,,,,,,
在库库存数量,,,T2,,16385,,所选结束时间的在库库存数量，线上仅统计财务口径仓库范围内库存数据，全域经营口径同库存市值,,,,,
净配发市值,,,T2,,16388,,统计周期内，运营模式为“加盟”的配发市值 - 配发退货数量*吊牌价，注，万能工具默认线下全部配发，不限定运营模式,,,,,
区间期末库存市值,,,T2,,16391,,,,,,,
（回复时效_平均值_排名得分,,,T2,,16406,,,,,,,
可销周,,复合指标,T2,,BUS1320,"当前库存可供销售的周数。
可销周 = 当前库存数量/AVERAGE（近2周零售数量），即：期末库存数量/近2周的每周平均零售数量",,期末库存数量/近2周的每周平均零售数量,,商品,,统筹运营中心>经营分析部
到店天数,,复合指标,T2,,BUS1321,当前日期-款色最早到店日期；备注：建议区分区域使用,,,,商品,,统筹运营中心>经营分析部
门店在途库存数量,,复合指标,T2,,BUS1325,已出库但门店未入库的商品数量；（接收方为门店）,,,,"品牌,渠道,门店",,统筹运营中心>经营分析部
7天_有销库存满足率,,复合指标,T2,,BUS1328,近7天交易笔数不为0，且库存数量不为0的SKU个数 / 近7天交易笔数不为0的SKU个数 *100%,,有销库存满足率=Σ7天有零售有库存款色码数 / Σ7天有零售款色码数 * 100%,,门店,,统筹运营中心>经营分析部
14天_有销库存满足率,,复合指标,T2,,BUS1329,近14天交易笔数不为0，且库存数量不为0的SKU个数 / 近14天交易笔数不为0的SKU个数 *100%,,有销库存满足率=Σ14天有零售有库存款色码数 / Σ14天有零售款色码数 * 100%,,门店,,统筹运营中心>经营分析部
全量在库库存量,,原子指标,,,ZB00138,,统计时点在所有仓库中的所有商品库存总量,,,,,
全量锁定库存量,,原子指标,,,ZB00139,,统计时点所有仓库中处于锁定状态下的所有商品库存量,,,,,
全量在库库存量（剔销售锁定）,,原子指标,,,ZB00140,,统计时点在所有仓库中剔除为销售发货而锁定后库存量,,,,,
全量可用库存量,,原子指标,,,ZB00141,,统计时点在所有仓库中剔除所有锁定状态下的的所有商品库存量,,,,,
在库库存量（剔销售锁定）,,原子指标,,,ZB00143,,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除销售锁定库存量）,,,,,
在库可用库存量,,原子指标,,,ZB00144,,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除所有锁定库存量）,,,,,
可销在库库存量,,原子指标,,,ZB00145,,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量,,,,,
可销在库库存量（剔销售锁定）,,原子指标,,,ZB00146,,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除销售锁定库存量）,,,,,
可销可用库存量,,原子指标,,,ZB00147,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除所有锁定库存量）,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存量（剔除所有锁定库存量）,,,,,
全量在库库存市值,,派生指标,,,ZB00148,,统计时点在所有仓库中的所有商品库存总市值,,,,,
全量锁定库存市值,,派生指标,,,ZB00149,,统计时点所有仓库中处于锁定状态下的所有商品库存市值,,,,,
全量在库库存市值（剔销售锁定）,,派生指标,,,ZB00150,,统计时点在所有仓库中剔除为销售发货而锁定后库存市值,,,,,
全量可用库存市值,,派生指标,,,ZB00151,,统计时点在所有仓库中剔除所有锁定状态下的的所有商品库存市值,,,,,
在库库存市值（剔销售锁定）,,派生指标,,,ZB00153,,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除销售锁定库存市值）,,,,,
在库可用库存市值,,派生指标,,,ZB00154,,参与统计仓库且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除所有锁定库存市值）,,,,,
可销在库库存市值,,派生指标,,,ZB00155,,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值,,,,,
可销在库库存市值（剔销售锁定）,,派生指标,,,ZB00156,,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除销售锁定库存市值）,,,,,
可销可用库存市值,,派生指标,,,ZB00157,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除所有锁定库存市值）,参与统计仓库的正品仓且商品类别为Z001且产品线中不含有辅料两个字的商品库存市值（剔除所有锁定库存市值）,,,,,
平均入库时效(天),,原子指标,,,ZB00272,入库时效汇总（入库时间-实际到仓时间）/入库批次数质检时效,入库时效汇总（入库时间-实际到仓时间）/入库批次数质检时效,,,,,
平均质检时效(天),,原子指标,,,ZB00273,质检完成时间 - 实际到仓时间,质检完成时间 - 实际到仓时间,,,,,
平均发货时效(小时),,原子指标,,,ZB00274,B2C发货时效时间汇总/B2C总单量汇总,B2C发货时效时间汇总/B2C总单量汇总,,,,,
平均拆包时效(小时),,原子指标,,,ZB00275,【签收时间 - 拆包入库时间】按查询条件汇总/运单号汇总,【签收时间 - 拆包入库时间】按查询条件汇总/运单号汇总,,,,,
库存成本,,原子指标,T2,其他,ZB00326,"库存成本（不含税）=在库库存数量*不含税实际成本单价，线上仅统计财务口径仓库范围内库存数据
","库存成本（不含税）=在库库存数量*不含税实际成本单价，线上仅统计财务口径仓库范围内库存数据
【关注点】
1、包含关税、不含授权费",,,时间,,经营分析>统筹运营中心
线下入库售罄率,,派生指标,,,ZB00401,,零售市值/入库市值*100%,,,,,
配发数量占比,,派生指标,,,ZB00421,,实际配发货量/季度总采购数量,,,,,
配发市值占比,,派生指标,,,ZB00422,,实际配发出货吊牌市值/季度总采购市值,,,,,
平均物流周期,,派生指标,,,ZB00452,,指产品约车到入库的平均运输周期,,,,,
预测目标库存市值,,派生指标,,,ZB00478,,（前6个月实际零售市值+后6个月预测零售市值的平均值）*当月MOS；,,,,,
实际库存市值,,派生指标,,,ZB00479,,当前库存商品数量 * 吊牌金额,,,,,
在途库存市值,,派生指标,,,ZB00480,,已出库但未入库的商品数量 * 吊牌金额,,,,,
预测在库市值（初始库存-零售+入库）,,派生指标,,,ZB00481,,上月期末实际在库库存市值-当月预测零售市值+当月在途库存市值,,,,,
实际期初在库市值,,原子指标,,,ZB00482,,期初的库存快照,,,,,
累计可用入库市值,,派生指标,,,ZB00483,,预测目标库存市值-预测在库市值,,,,,
入库数量,,原子指标,,,ZB00503,,SAP采购订单入库的货品数量,,,,,
入库金额,,原子指标,,,ZB00504,,SAP采购订单入库的货品金额,,,,,
入库市值,,派生指标,,,ZB00505,,SAP采购订单入库的货品数量*吊牌金额,,,,,
在途库存数量,,原子指标,,,ZB00513,,已出库但未入库的商品数量,,,,,
有销库存满足率,,派生指标,,,ZB00516,,Σ7天有零售有库存款色码数 / Σ7天有零售款色码数 * 100%,,,,,
老品_配发市值_占比,,派生指标,,,ZB00531,,老品_配发市值 / 配发市值 *100%,,,,,
配发成本（不含税）,,派生指标,,,ZB00533,,"""配发成本（不含税）=（零售市值 * 配发折率）/（1+增值税税率13%）
注：配发成本（不含税）即：客户销售成本，按最新季度配发折率计算""",,,,,
采购入库数量,,原子指标,,,ZB00566,,统计周期内，在线下SAP下的采购订单入库的商品数量+线上SAP自采的采购订单入库的商品数量,,,,,
全域库存数量,,派生指标,,,ZB00568,,所有仓的库存之和，即总仓_库存数量+嘉兴_库存数量+渠道_库存数量,,,,,
总仓_库存数量,,派生指标,,,ZB00569,,所选统计周期内最后一天24:00点的实际在温州仓库的库存数量，历史数据只有周和月最后1天的在库库存,,,,,
嘉兴_库存数量,,派生指标,,,ZB00570,,所选统计周期内最后一天24:00点的实际在嘉兴仓库的库存数量,,,,,
渠道_库存数量,,派生指标,,,ZB00571,,所选统计周期内最后一天24:00点的实际在各渠道仓库（加盟）的库存数量，历史数据只有周和月最后1天的在库库存,,,,,
直营_库存数量,,原子指标,,,ZB00572,,所选统计周期内最后一天24:00点的实际在各子公司仓库（直营）的库存数量，历史数据只有周和月最后1天的在库库存,,,,,
总仓_库存市值,,派生指标,,,ZB00573,,所选统计周期内，公式=总仓_库存数量*吊牌价,,,,,
嘉兴_库存市值,,派生指标,,,ZB00574,,所选统计周期内，公式=嘉兴_库存数量*吊牌价,,,,,
渠道_库存市值,,派生指标,,,ZB00575,,所选统计周期内，公式=渠道_库存数量*吊牌价,,,,,
直营_库存市值,,派生指标,,,ZB00576,,所选统计周期内，公式=直营_库存数量*吊牌价,,,,,
库存_sku数,,原子指标,,,ZB00581,,当前库存商品SKU去重后的数量,,,,,
净配发量,,派生指标,,,ZB00589,,统计周期内，运营模式为“加盟”的配发数量 - 配发退货数量，注，万能工具默认线下全部配发，不限定运营模式,,,,,
净配发额,,派生指标,,,ZB00590,,统计周期内，运营模式为“加盟”的配发金额 - 配发退货金额，注，万能工具默认线下全部配发，不限定运营模式,,,,,
配发,,原子指标,,,ZB00593,,为确保预实一致，暂限定为收货店仓归属的运营模式为“加盟”的配发数据，不含直营及电商等配发,,,,,
退货件数,退货入库件数、退货件数,原子指标,T2,仓储物流,LOD.00.000.002,指客户因为各种原因将购买的商品退回给卖家的数量。退货件数是衡量卖家服务质量和商品质量的一个重要指标。如果退货件数过多，可能意味着卖家需要改进其服务或商品质量。,"自有仓取WMS系统，非自有仓取OMS系统，
根据筛选的条件下，退货的件数直接汇总，

备注：筛选时间可以为关单时间也可以为支付时间",|,,"时间,品牌,仓库,商品",件,物流
退件率,,复合指标,T2,仓储物流,LOD.00.000.003,指的是在所有订单中，完整退款的订单所占的比例。整单退款通常发生在顾客因为某种原因不满意整个订单中的所有商品，并决定将整个订单中的商品全部退回并要求退款。,"筛选条件范围内的退货件数/出库件数*100%，

备注：按支付时间来统计",|,,"时间,品牌,仓库,商品",%,物流
退货包裹数,退货入库包裹、退货包裹,原子指标,T2,仓储物流,LOD.00.000.004,/,"自有仓取WMS系统，非自有仓取OMS系统，
根据筛选的条件下，根据退货快递单号去重",|,,"时间,品牌,仓库,商品",个,物流
退包裹率,,复合指标,T2,仓储物流,LOD.00.000.005,/,"自有仓取WMS系统，非自有仓取OMS系统，
筛选条件范围内的退货快递单号去重/出库快递单号去重*100%，
备注：按支付时间来统计",|,,"时间,品牌,仓库,商品",%,物流
平台退货单数,,原子指标,T2,仓储物流,LOD.00.000.006,按照平台退货单号考虑退货的情况,"自有仓取WMS系统，非自有仓取OMS系统，
根据筛选的条件下，平台退货单号去重",|,,"时间,品牌,仓库,商品",单,物流
