中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
换货退款率,,复合指标,T2,,BUS1039,换货退款金额/终端零售额,换货退款金额/终端零售额,换货退款金额 / 终端零售额,,,,
拒收退款率,,复合指标,T2,,BUS1043,拒收退款金额/终端零售额,拒收退款金额/终端零售额,拒收退款金额 / 终端零售额,,"品牌,渠道,店铺,商品维度",%,统筹运营中心>经营分析部
拒退退款率,,复合指标,T2,,BUS1045,(拒收+退货退款)/终端零售额,(拒收+退货退款)/终端零售额,( 拒收退款金额 + 退货退款金额 ) / 终端零售额,,,,
退货率,,复合指标,T2,,BUS1046,退款件数/终端零售量,退款件数/终端零售量,退款件数 / 终端零售量,,,,
退货数量,,原子指标,T2,,BUS1047,销售次日获取，持续更新，B2C和批发渠道为各种退货数量，唯品会为魔方罗盘【净销量（扣据退）后续采集跟首次采集的差异】统计的数量。,销售次日获取，持续更新，B2C和批发渠道为各种退货数量，唯品会为魔方罗盘【净销量（扣据退）后续采集跟首次采集的差异】统计的数量。,,,,,
退货退款率,,复合指标,T2,,BUS1049,退货退款金额/终端零售额,退货退款金额/终端零售额,退货退款金额 / 终端零售额,,"品牌,渠道,店铺,商品维度",%,统筹运营中心>经营分析部
未发货仅退款金额,,原子指标,T2,,BUS1054,终端零售额扣减已发货金额,,,,"品牌,渠道,店铺,商品维度",元,统筹运营中心>经营分析部
未发货退款率,,复合指标,T2,,BUS1055,未发货仅退款金额/终端零售额,未发货退款金额/终端零售额,未发货仅退款金额 / 终端零售额,,"品牌,渠道,店铺,商品维度",%,统筹运营中心>经营分析部
已发仅退款率,,复合指标,T2,,BUS1059,已发货仅退款金额/终端零售额,已发货退款金额/终端零售额,已发货仅退款金额 / 终端零售额,,"品牌,渠道,店铺,商品维度",%,统筹运营中心>经营分析部
已发退款率,,复合指标,T2,,BUS1060,已发货退款金额/终端零售额,已发货退款金额/终端零售额,已发货退款金额 / 终端零售额,,,,
客单价,,复合指标,T1,零售管理,REM.00.00.013,每一个顾客平均购买商品的金额。,"电商：支付金额/支付买家数；
线下：终端成交额/订单数",电商：支付金额 / 支付买家数；、线下：终端成交额 / 订单数,,"时间,品牌,门店",元,零售事业部
客件数,,复合指标,T2,,BUS1093,统计日期内，终端零售量/支付买家数，即平均每个买家的实际支付件数,,终端零售量 / 支付买家数,,,,
客件数倍率,,复合指标,T2,,BUS1094,所选时间内，下单付款的顾客，平均每次购买商品的件数，计算逻辑：人工客服客件数（无时长要求）/店铺客件数,所选时间内，下单付款的顾客，平均每次购买商品的件数，计算逻辑：人工客服客件数（无时长要求）/店铺客件数,人工客服客件数（无时长要求）/店铺客件数,,,,客服
老客件单价,,复合指标,T2,,BUS1096,统计时间内，老客终端零售额/老客终端零售量,统计时间内，老客终端零售额/老客终端零售量,老客终端零售额 / 老客终端零售量,,"品牌,渠道,店铺,平台,用户维度, 商品维度,时间周期（日）",,消费者洞察
老客客单价,,复合指标,T2,,BUS1097,统计时间内，老客终端零售额/老客数，即平均每个老客支付买家的成交金额,统计时间内，老客终端零售额/老客数，即平均每个老客支付买家的成交金额,老客终端零售额 / 老客数,,"品牌,渠道,店铺,平台,用户维度, 商品维度,时间周期（日）",,消费者洞察
新客件单价,,原子指标,T2,,BUS1101,统计时间内，新客终端零售额/新客终端零售量,统计时间内，新客终端零售额/新客终端零售量,新客终端零售额 / 新客终端零售量,,"品牌,渠道,店铺,平台,用户维度, 商品维度,时间周期（日）",,消费者洞察
新客客单价,,原子指标,T2,,BUS1102,统计时间内，新客终端零售额/新客数，即平均每个新客支付买家的成交金额,统计时间内，新客终端零售额/新客数，即平均每个新客支付买家的成交金额,新客终端零售额 / 新客数,,"品牌,渠道,店铺,平台,用户维度, 商品维度,时间周期（日）",,消费者洞察
倍率,,复合指标,T2,,BUS1106,净吊销额/含税实际成本额，其中，净吊销额=净销量*吊牌价；含税实际成本额=含税实际成本单价*净销量,净吊销额/含税实际成本额，其中，净吊销额=净销量*吊牌价；含税实际成本额=含税实际成本单价*净销量,净吊销额 / 含税实际成本额,,"品牌,运营模式,一,二级渠道,店铺,商品维度,时间周期（日）",,商品部
单量达成显示,,原子指标,T2,,BUS1108,"达成率说明：
① B2C/JIT/JITX的计划作业量以物流部计划组维护的数据为准；
② B2C/JITX存在部分新开店铺无销售计划，因而无达成率，显示为“-”
③ B2B业务无计划作业量，因而无达成率，显示为“-”；
单量数据说明：
JIT&B2B单量为出库单据数量，B2C&JITX单量为实际顾客下单量","达成率说明：
① B2C/JIT/JITX的计划作业量以物流部计划组维护的数据为准；
② B2C/JITX存在部分新开店铺无销售计划，因而无达成率，显示为“-”
③ B2B业务无计划作业量，因而无达成率，显示为“-”；
单量数据说明：
JIT&B2B单量为出库单据数量，B2C&JITX单量为实际顾客下单量",,,,,
订单数,小票数/订单数,原子指标,T2,零售管理,REM.00.00.010,买家提交的购买需求数，每笔需求里面产品数量不固定。,买家下单支付产生的订单数量（剔除退货）。,,,"时间,品牌,门店",单,零售事业部
经营回款率,回款率,复合指标,T2,零售管理,BUS1122,经营回款率 = 经营回款额 / 终端成交额 * 100%,【电商】独有指标，经营回款率 = 经营回款额 / 终端成交额 * 100%,,,"品牌,运营模式,一,二级渠道,店铺,商品维度,时间周期（日）",,经营企划部>零售事业部
件单价,,复合指标,T2,,BUS1134,统计日期内，终端零售额/终端零售量，即平均每件商品的实际支付金额,统计时间内，终端零售额/终端零售量,终端零售额 / 终端零售量,,,,
实销金额,,原子指标,T2,,BUS1146,包含B2C\B2B\批发出库维度实销数据，口径同BI报表。由于目标数据缺失，实销金额暂不支持计算达成率。,包含B2C\B2B\批发出库维度实销数据，口径同BI报表。由于目标数据缺失，实销金额暂不支持计算达成率。,,,,,
实销数量,,原子指标,T2,,BUS1147,包含B2C\B2B\批发出库维度实销数据，口径同BI报表。,包含B2C\B2B\批发出库维度实销数据，口径同BI报表。,,,,,
市占率,,复合指标,T2,,BUS1148,统计时间内，该店铺支付金额占该平台，该类目下行业大盘的份额,统计时间内，该店铺支付金额占该平台，该类目下行业大盘的份额,,,"类目,平台,时间周期（日,月）",,数据部
销售额指数,,复合指标,T2,,BUS1160,统计时间内，对应品类按天销售额累计值的指数化指标,统计时间内，对应品类按天销售额累计值的指数化指标,,,,,
销售商品数,,原子指标,T2,,BUS1161,所选时间周期，所选条件下，净销售售卖的款号去重数量，且剔除Z001以外及产品线包含辅料的商品,所选时间周期，所选条件下，净销售售卖的款号去重数量，且剔除Z001以外及产品线包含辅料的商品,,,"品牌,渠道,品类",,经营企划
考核成本额,,原子指标,T2,,FIN1005,统计时间内，净销量*不含税考核成本单价,统计时间内，净销量*不含税考核成本单价,净销量*不含税考核成本单价,,,,
异常运营店铺数,,原子指标,T2,,FIN1011,所选结束月，触发了店铺预警流程的店铺数量（月终端零售额低于3万元且不在屏蔽范围内）,所选结束月，触发了店铺预警流程的店铺数量（月终端零售额低于3万元且不在屏蔽范围内）,,,,,财务
年增长模型_GMV预估值,,原子指标,T2,,BUS1254,"通过店铺核心类目的GMV及份额，预估整店GMV。
参考时间范围和参考活动主要影响行业增长倍数及市占率增长倍数预估；",,,,,,
新开店铺数,,原子指标,T2,,BUS1258,店铺表中开始合作时间在统计周期内,店铺表中开始合作时间在统计周期内,,,,,财务
已关闭店铺数,,原子指标,T2,,BUS1259,店铺表中结束合作时间在统计周期内,店铺表中结束合作时间在统计周期内,,,,,财务
在运营店铺,,原子指标,T2,,BUS1260,"统计周期内，店铺状态为“可用”；店铺编码剔除""YD""、""HD""","统计周期内，店铺状态为“可用”；店铺编码剔除""YD""、""HD""",,,,,财务
存销比,,复合指标,T2,,BUS1264,所选时间范围内，可用库存/终端零售量,所选时间范围内，可用库存/终端零售量,可用库存/终端零售量,,,,商品
达成,,复合指标,T2,,BUS1265,单量达成率 = 实际总单量/计划总单量 * 100%,单量达成率 = 实际总单量/计划总单量 * 100%,实际总单量/计划总单量 * 100%,,,,
达成进度,,复合指标,T2,,BUS1266,"若目标为正数，达成进度=本期/目标*100%
若目标为负数，达成进度=（2-本期/目标*100%
注：面向正向指标，比如GMV、净销、回款，值越大越好
其中，达成进度>=100%,字体标绿色，<100%,字体标红色","若目标为正数，达成进度=本期/目标*100%
若目标为负数，达成进度=（2-本期/目标*100%
注：面向正向指标，比如GMV、净销、回款，值越大越好
其中，达成进度>=100%,字体标绿色，<100%,字体标红色",若目标为正数，达成进度=本期/目标*100%、若目标为负数，达成进度=(2-本期/目标)*100%,,"品牌,渠道,店铺,时间周期（月）",,财经策略部
达成率,,复合指标,T2,,BUS1267,统计时间内，达成率=本期数/目标数*100%,统计时间内，达成率=本期数/目标数*100%,达成率=本期数/目标数*100%,,"品牌,阿米巴,店铺,时间周期（日,月）",,财务部
当前周转天数,,复合指标,T2,,BUS1269,所选时间范围内，当前可用库存/日均终端零售量,所选时间范围内，当前可用库存/日均终端零售量,当前可用库存/日均终端零售量,,,,商品
动销商品数,,复合指标,T2,,BUS1271,所选时间周期，所选条件下，净销量大于等于5以上的款号去重数量，且剔除Z001以外及产品线包含辅料的商品,所选时间周期，所选条件下，净销量大于等于5以上的款号去重数量，且剔除Z001以外及产品线包含辅料的商品,,,"品牌,渠道,品类",,经营企划
滚动周转天数,,复合指标,T2,,BUS1272,所选时间范围内，日均可用库存/日均终端零售量,所选时间范围内，日均可用库存/日均终端零售量,日均可用库存/日均终端零售量,,,,商品
目标,,原子指标,T2,,BUS1276,统计时间内的年度预算确定的目标,统计时间内的年度预算确定的目标,,,"品牌,渠道,店铺,时间周期（月）",,财经策略部
平均值,,复合指标,T2,,BUS1277,平均值 = 全部模型的销额预测总和/模型数,平均值 = 全部模型的销额预测总和/模型数,全部模型的销额预测总和/模型数,,,,
平均值（同比）,,复合指标,T2,,BUS1278,平均值同比 = （当前大促预测平均值/去年同期大促销额-1）*100%,,(当前大促预测平均值/去年同期大促销额-1)*100%,,,,
占比,,复合指标,T2,,BUS1282,数值指标才有占比，所选维度数值/同层汇总数值*100%,数值指标才有占比，所选维度数值/同层汇总数值*100%,所选维度数值/同层汇总数值*100%,,"品牌,店铺,时间周期（日）",,总经办
中位数,,复合指标,T2,,BUS1283,全部模型销额预测值的中位数,全部模型销额预测值的中位数,,,,,
;,,,T2,,16389,,,,,,,
老客终端零售量,,,T2,,16395,,,,,,,
新客终端零售量,,,T2,,16396,,,,,,,
客流量,客流量/访客数,原子指标,T1,零售管理,REM.00.00.017,单位时间进入某个场所的人数。,"线下：通过客流计数器统计到的进店人次；
线上：按日去重的店铺访问人数。
【关注点】
1、森马数据中未筛选线上或线下，则为全域客流量，即线上与线下合计数",,,"时间,品牌,门店",人次,零售事业部
客流转化率,转化率/支付转化率,复合指标,T1,零售管理,REM.00.00.018,进店客流中，最后能成功下单的比例。,"口径与【订单数】【支付买家数】【客流量】一致。
【关注点】
1、计算线上客流转化率时，客流量指线上按日去重的店铺访问人数；计算线下客流转化率时，客流量指通过客流计数器统计到的进店人次。
2、森马数据中未筛选线上或线下，则为全域客流量转化率，即（订单数+支付买家数）/（线上客流量+线下客流量）",线下：订单数/客流量、线上：支付买家数/客流量,,"时间,品牌,门店",%,零售事业部
零售退款额,退款金额,复合指标,T2,零售管理,REM.00.00.008,店铺退款产生的金额。,"包含未发货仅退款额、已发货仅退款额、退货退款额、拒收退货退款额、额外退款额。
【关注点】
1、直播挂链、官旗O2O退货业绩归属电商
2、统计时间按照订单支付时间计算
3、线下直营/加盟零售的退款归属退货退款",未发货仅退款额 + 退货退款额 + 已发货仅退款额 + 拒收退款额 + 额外退款额,,"时间,品牌,门店,商品,直播账号",元,零售事业部
零售退款率,退款率,复合指标,T2,零售管理,REM.00.00.009,退款金额占终端成交额的比率。,口径与【零售退款额 】【终端成交额】一致,零售退款额 / 终端成交额 * 100%,,"时间,品牌,门店,商品,直播账号",%,零售事业部
终端成交额,终端零售额,原子指标,T1,零售管理,REM.00.00.003,店铺后台系统销售额统计值。,"店铺后台未减退款前销售额统计值，包含直营、加盟、电商等。
【关注点】
1、直播挂链、官旗O2O业绩归属电商
2、统计时间按照订单支付时间计算
3、含视同销售的一次性批发业务",,,"时间,品牌,门店,商品,直播账号",元,零售事业部
吊销市值,,派生指标,,,ZB00094,,统计时间内，净销量*吊牌价的金额,,,,,
销售折率,,派生指标,,,ZB00096,,统计时间内，终端零售额/(终端零售量*吊牌价)，同账销折率,,,,,
平均值(同比),,原子指标,,,ZB00293,平均值同比 = （当前大促预测平均值/去年同期大促销额-1）*100%,平均值同比 = （当前大促预测平均值/去年同期大促销额-1）*100%,,,,,
折扣率,,派生指标,,,ZB00304,,净销额/净吊销额,,,,,
商品毛利额（含税）,,原子指标,T2,其他,ZB00322,"""净销额-含税实际成本额，其中，含税实际成本额=含税实际成本单价*净销量
其中，实际成本按含试制费的采购实际成本或代运营固定比例。","""净销额-含税实际成本额，其中，含税实际成本额=含税实际成本单价*净销量
其中，实际成本按含试制费的采购实际成本或代运营固定比例。",,,"时间,品牌",,经营分析>统筹运营中心
年增长模型-GMV预估值,,派生指标,,,ZB00353,"通过店铺核心类目的GMV及份额，预估整店GMV。
参考时间范围和参考活动主要影响行业增长倍数及市占率增长倍数预估；","通过店铺核心类目的GMV及份额，预估整店GMV。
参考时间范围和参考活动主要影响行业增长倍数及市占率增长倍数预估；",,,,,
线下折率,,派生指标,,,ZB00402,,零售金额 / 零售市值 * 100%,,,,,
折扣,,派生指标,,,ZB00430,,零售金额 / 零售市值 * 100%,,,,,
预测MOS,,派生指标,,,ZB00476,,期末库存市值/近12个月的每月平均预测零售市值,,,,,
实际MOS,,派生指标,,,ZB00477,,期末库存市值/近12个月的每月平均零售市值,,,,,
IP零售规模,,原子指标,,,ZB00485,,"""电商=GMV：订单成交金额，未扣除失败交易、退货退款等金额。
线下=零售金额：零售金额是指通过售卖商品所形成经济利益的实际收银金额，即：商品销售订单成交金额扣除失败交易、退款退货等金额以后的实际入账金额。
※注：零售金额的统计，以查询之时，所选时间窗口中失败交易、退款退货等金额的实际入账为准，已入账则计入，未入账则暂不计入。""",,,,,
IP零售金额,,原子指标,,,ZB00486,,"""电商：统计时间内，终端零售额扣减【未发货仅退款、已发货仅退款、退货退款、拒收退货退款、额外退款】之后剩余金额
线下：零售金额是指通过售卖商品所形成经济利益的实际收银金额，即：商品销售订单成交金额扣除失败交易、退款退货等金额以后的实际入账金额。
※注：零售金额的统计，以查询之时，所选时间窗口中失败交易、退款退货等金额的实际入账为准，已入账则计入，未入账则暂不计入。""",,,,,
IP数量,,原子指标,,,ZB00490,,按照ip名称去重数量,,,,,
IP款数,,原子指标,,,ZB00491,,IP款式编码去重后数量,,,,,
件均价,,派生指标,,,ZB00494,,平均每件的零售金额AUR，总零售金额 / 总零售数量,,,,,
终端零售额(万),,派生指标,,,ZB00499,,统计时间内，包含线下直营/加盟零售，B2C&批发类型销售用R3订单中的成交金额统计（含手工单），且未减退款金额；唯品会用魔方罗盘获取的【销售额（到手价）】统计。（销售次日获取） 另，线上订单线下发货的O2O业绩不双算，默认归在订单成交店铺； （自2022年3月1日起含唯品补贴优惠劵，自2022年6月1日起含天猫超市销售数据；自2022年11月1日起含拼多多优惠券，京东自营等销售数据；但暂不含Glemall和Aiken授权业务、JC唯品会、MOP唯品会、代运营keep、迪士尼及及非森马订单系统的数据）,,,,,
终端零售量(万）,,派生指标,,,ZB00500,,统计时间内，B2C和批发渠道为进入EC的订单中包含的销售数量（含手工单），唯品会为【净销量（含拒退）】统计的数量。（销售次日获取）,,,,,
MOS,,派生指标,,,ZB00514,,按库存市值计算，当前库存可供销售的月份数,,,,,
股份_零售合计,,派生指标,,,ZB00518,,∑ 品牌_零售合计,,,,,
品牌_零售合计,,派生指标,,,ZB00519,,"""终端_零售金额 + 电子商务_GMV - O2O_GMV（估算）
（※ 注：杭州电商该部分数据暂未接入股份中台，目前采用订单来源为O2O的 终端_零售金额 除以系数0.85，以消除电商O2O订单退货退款影响，把“O2O_零售金额”换算成“O2O_GMV（估算）”）""",,,,,
门店数量,,原子指标,,,ZB00520,,线下门店数量汇总。,,,,,
盈利_门店数量,,原子指标,,,ZB00521,,"""在所选统计窗口中，实现盈利的线下门店数量汇总。
盈利：门店_利润额>0""",,,,,
营业月份数,,原子指标,,,ZB00522,,所选时间周期指定零售商归属门店的业务状态（CAL_ITEM_STATE_CODE）为活动的最大月份数,,,,,
零售金额-营业月平均值,,派生指标,,,ZB00523,,零售金额 / 营业月份数,,,,,
零售金额-单店平均值,,派生指标,,,ZB00524,,零售金额 / 门店数量,,,,,
营业月份数-单店平均值,,派生指标,,,ZB00525,,营业月份数 / 门店数量,,,,,
营业月店均零售金额-营业月月均值,,派生指标,,,ZB00526,,零售金额-单店平均值 / 营业月份数-单店平均值,,,,,
营业月店均零售金额-营业月累计值,,派生指标,,,ZB00527,,营业月店均零售金额-营业月月均值 * 营业月份数,,,,,
配发折率（不含税）,,派生指标,,,ZB00528,,配发成本*（1+增值税税率13%） / 零售市值 * 100%,,,,,
老品_配发折率,,派生指标,,,ZB00529,,老品_配发成本*（1+增值税税率13%） / 老品_零售市值 * 100%,,,,,
新老品_配发折率,,派生指标,,,ZB00530,,新老品_配发成本*（1+增值税税率13%） / 新老品_零售市值 * 100%,,,,,
门店_运营费用,,派生指标,,,ZB00536,,经销商_商品毛利额（不含税）/营业收入 * 100%,,,,,
门店_运营费率,,派生指标,,,ZB00537,,门店运营费用 / 营业收入 * 100%,,,,,
门店_人工费,,派生指标,,,ZB00538,,营业收入 * 门店人工费_费率,,,,,
门店_租金,,派生指标,,,ZB00539,,营业收入 * 门店租金_费率,,,,,
门店_水电费,,派生指标,,,ZB00540,,营业收入 * 门店水电费_费率,,,,,
门店_运营其他费用,,派生指标,,,ZB00541,,营业收入 * 门店其他费用_费率,,,,,
门店_人工费_费率,,派生指标,,,ZB00542,,门店人工费 / 营业收入 * 100%,,,,,
门店_租金_费率,,派生指标,,,ZB00543,,门店租金 / 营业收入 * 100%,,,,,
门店_水电费_费率,,派生指标,,,ZB00544,,门店水电费 / 营业收入 * 100%,,,,,
门店_其他费用_费率,,派生指标,,,ZB00545,,门店其他费用 / 营业收入 * 100%,,,,,
门店_利润额,,派生指标,,,ZB00546,,经销商_商品毛利额 - 门店运营费用,,,,,
门店_利润率,,派生指标,,,ZB00547,,门店利润额 / 营业收入 * 100%,,,,,
零售量,零售数量/净销量,复合指标,T2,零售管理,REM.00.00.004,店铺后台系统销售量扣减退货后的实际销售数量。,口径与【终端成交量】【零售退款量】一致。,终端成交量 - 零售退款量,,"时间,品牌,门店,商品,直播账号",件,零售事业部
可比店零售额,可比店零售金额,原子指标,T1,零售管理,REM.00.00.007,可比门店的零售金额。,可比店指按照时间维度对店铺进行（年可比，季可比，月可比，周可比，日可比）打标，并计算对应标签的零售额。,,,"时间,品牌,门店,商品",元,零售事业部
会员数,,原子指标,T2,零售管理,REM.00.00.014,加入品牌店铺的有效会员数量。,"通过系统注册并生成会员编号的数量。
【关注点】
1、退会会员数不纳入其中。",,,"时间,品牌,门店",人,零售事业部
会销比,会员销售占比,复合指标,T1,零售管理,REM.00.00.015,会员销额与零售额的百分比。,口径与【零售额】【会员销额】一致。,会员零售额 / 零售额,,"时间,品牌,门店",/,零售事业部
会员销额,会员零售额,原子指标,T2,零售管理,REM.00.00.016,会员产生的终端成交额。,口径与【终端成交额】一致，特指由会员产生的终端成交额。,,终端成交额,"时间,品牌,门店",元,零售事业部
门店平效,整体平效/门店坪效,复合指标,T1,零售管理,REM.00.00.019,门店每平米的销售额（默认年平效）。,"口径与【零售额】一致
【关注点】
1、门店的营业面积是门店主数据中记录的面积数。",零售额 / 营业面积,零售额,"时间,门店",元/㎡,零售事业部
零售市值,净销市值/净吊销额,复合指标,T2,零售管理,REM.00.00.005,店铺后台系统销售量扣减退货后的实际销售商品的市值。,"口径与【零售量】一致。
【关注点】
1、商品吊牌价是商品主数据中记录的吊牌价格。",零售量 * 商品吊牌价,零售量,"时间,品牌,门店,商品,直播账号",元,零售事业部
零售额,零售金额/净销额,复合指标,T1,零售管理,REM.00.00.001,店铺后台系统销售额扣减退款后的实际销售金额。,口径与【终端成交额】【零售退款额】一致。,终端成交额-零售退款额,终端成交额、零售退款额,"时间,品牌,店铺,商品,直播者帐号",元,经营企划部>零售事业部
零售总额,,原子指标,T1,零售管理,REM.00.00.020,/,包含门店POS、小程序、本地生活、内容种草、O2O和直播挂链总的零售金额,,,时间,元,零售事业部
收入总额,,原子指标,T1,零售管理,REM.00.00.021,/,包含门店POS、小程序、本地生活、内容种草、O2O和直播挂链总的收入,,,时间,元,零售事业部
经销收入,,复合指标,T1,零售管理,REM.00.00.022,/,零售额 / 1.13,,,时间,元,零售事业部
经销毛利额,,复合指标,T1,零售管理,REM.00.00.023,/,经销收入 - 经销成本,,,时间,元,零售事业部
经销毛利率,,复合指标,T1,零售管理,REM.00.00.024,/,经销毛利额 / 经销收入,,,时间,%,零售事业部
预估经销利润,,复合指标,T1,零售管理,REM.00.00.025,/,经销毛利额 - 预估经销费用,,,时间,元,零售事业部
预估经销利润率,,复合指标,T1,零售管理,REM.00.00.026,/,预估经销利润 / 经销收入,,,时间,%,零售事业部
预估经销费用,,复合指标,T1,零售管理,REM.00.00.027,/,预估经销费用率 * 经销收入,,,时间,元,零售事业部
预估经销费用率,,原子指标,T1,零售管理,REM.00.00.028,/,加盟门店运营费用，当前按35%进行预估，后根据客户配置取数,,,时间,%,零售事业部
新品配发售罄率,,复合指标,T1,零售管理,REM.00.00.029,/,新品零售市值累计值 / 配发入库市值累计值 *100%,,,时间,%,零售事业部
门店客流量,,复合指标,T1,零售管理,REM.00.00.030,/,门店级：线下有客流计数器且门店转化率在1%到50%之间的门店的客流数；汇总级：预估门店客流量=门店订单数/门店转化率,,,时间,人次,零售事业部
门店小票数,,原子指标,T1,零售管理,REM.00.00.031,/,销售结构为实体门店的小票数汇总（除去退款及退货交易订单）,,,时间,单,零售事业部
门店连带率,,复合指标,T1,零售管理,REM.00.00.032,/,门店零售量 / 门店小票数,,,时间,%,零售事业部
门店转化率,,复合指标,T1,零售管理,REM.00.00.033,/,门店小票数 / 门店客流量,,,时间,%,零售事业部
区间新店数,,原子指标,T1,零售管理,REM.00.00.034,/,"在统计时间区间内新开店的数量。
【关注点】：
1、新开店定义为门店首次零售时间在统计的时间段内；
2、门店数量统计渠道类型仅包含购物中心、街边店、奥莱、百货、超市、母婴、学校",,,时间,家,零售事业部
区间闭店数,,原子指标,T1,零售管理,REM.00.00.035,/,"在统计时间区间内新闭店的数量。
【关注点】：
1、闭店定义为满足以下条件二选一：
①门店最后一次产生销售的时间距离统计结束时间超过2个月，视为关店；
②门店最后一次产生销售时间在近2个月，且主数据关店时间<=统计结束时间，视为关店。
2、门店数量统计渠道类型仅包含购物中心、街边店、奥莱、百货、超市、母婴、学校",,,时间,家,零售事业部
区间新店零售额,,原子指标,T1,零售管理,REM.00.00.036,/,统计时间区间内新开门店在当前时间区间的零售额。,,,时间,元,零售事业部
O2O零售额,,原子指标,T1,零售管理,REM.00.00.037,/,O2O扣减退款后的实际销售金额 O2O统计口径：接单店铺的消费者触点为“线上门店”且发货仓库的仓库类型为“门店仓”，定义为O2O备注：1、极速退无发货仓库的订单，非O2O2、零售数据分析场景（常用表举例：HANA的全域零售表，万能工具的全域汇总销退）， O2O归属接单店铺，零售数量不包含退货数量3、线下门店商品分析场景，为了进销存数据咬合，线下门店的零售数量需要包含O2O；如果门店仓发货后如果出现退货，有2种退货链路：3.1、退回公司总仓：线下门店的零售数量需要包含O2O发货数量3.2、退回门店仓：线下门店的零售数量需要包含O2O零售数量（O2O零售数量 = O2O发货数量 - O2O退货数量）,,,时间,元,零售事业部
O2O服务收入,,原子指标,T1,零售管理,REM.00.00.038,/,O2O服务费收入,,,时间,元,零售事业部
直播挂链零售额,,原子指标,T1,零售管理,REM.00.00.039,/,直播挂链扣减退款后的实际销售金额,,,时间,元,零售事业部
直播挂链收入,,原子指标,T1,零售管理,REM.00.00.040,/,直播挂链按照佣金比例计算的收入,,,时间,元,零售事业部
经销成本,,复合指标,T1,零售管理,REM.00.00.041,/,商品不含税配发单价 * 零售量,,,时间,元,零售事业部
经营收入,,原子指标,T2,零售管理,REM.00.00.042,/,"公司角度电商零售、直营零售、加盟配发的不含税实际收入。
【关注点】：
1、【电商】为按订单支付时间统计，零售额扣减唯品扣点和考虑分销结算回款比例后剩余的金额 / （1+增值税税率）；
2、【直营】为按订单/小票支付时间统计，零售额 / （1+增值税税率）；
3、【加盟】经营回款为按配发时间统计，净配发额 / （1+增值税税率）；",经营回款 / 1.13,,时间,元,零售事业部
